_______________________________________________________________ Logs with initial setup ______________________________________________________________

2023-05-02 12:32:40 | CPU: 77.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310355 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012089856 | Disk Read Time: 6224 | Disk Write Time: 468225 | Disk Busy Time: 234592 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116167 | Network Connections: 1013
2023-05-02 12:32:41 | CPU: 77.3% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310356 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012093952 | Disk Read Time: 6224 | Disk Write Time: 468226 | Disk Busy Time: 234596 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116167 | Network Connections: 1014
2023-05-02 12:32:42 | CPU: 77.2% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310356 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012093952 | Disk Read Time: 6224 | Disk Write Time: 468226 | Disk Busy Time: 234596 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116167 | Network Connections: 1014
2023-05-02 12:32:43 | CPU: 77.4% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310359 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012175872 | Disk Read Time: 6224 | Disk Write Time: 468230 | Disk Busy Time: 234608 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116175 | Network Connections: 1011
2023-05-02 12:32:44 | CPU: 77.1% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310359 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012175872 | Disk Read Time: 6224 | Disk Write Time: 468230 | Disk Busy Time: 234608 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116175 | Network Connections: 1014
2023-05-02 12:32:45 | CPU: 77.3% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310360 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012179968 | Disk Read Time: 6224 | Disk Write Time: 468231 | Disk Busy Time: 234612 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116175 | Network Connections: 1011
2023-05-02 12:32:46 | CPU: 77.1% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310360 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012179968 | Disk Read Time: 6224 | Disk Write Time: 468231 | Disk Busy Time: 234612 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116175 | Network Connections: 1013
2023-05-02 12:32:47 | CPU: 77.3% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310364 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012257792 | Disk Read Time: 6224 | Disk Write Time: 468234 | Disk Busy Time: 234620 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116180 | Network Connections: 1013
2023-05-02 12:32:48 | CPU: 76.9% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310364 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012257792 | Disk Read Time: 6224 | Disk Write Time: 468234 | Disk Busy Time: 234620 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116180 | Network Connections: 1010
2023-05-02 12:32:49 | CPU: 77.4% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310364 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012257792 | Disk Read Time: 6224 | Disk Write Time: 468234 | Disk Busy Time: 234620 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116180 | Network Connections: 1015
